robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
60,218,0,10,84,0,9.821566581726074,83.82156658172607
61,219,0,10,84,0,9.90438175201416,83.90438175201416
62,220,0,10,84,0,9.502948760986328,83.50294876098633
63,221,0,10,84,0,8.466133117675781,82.46613311767578
64,222,0,10,84,0,8.106893539428711,82.10689353942871
65,223,0,10,84,0,8.170400619506836,82.17040061950684
66,224,0,10,84,0,8.848682403564453,82.84868240356445
67,225,0,10,84,0,8.590609550476074,82.59060955047607
68,226,0,10,84,0,8.46755599975586,82.46755599975586
69,227,0,6,80,3,8.193034172058105,82.1930341720581
70,228,0,6,80,3,8.226531028747559,82.22653102874756
71,229,0,6,80,3,8.256296157836914,82.25629615783691
72,230,0,6,80,3,8.3514404296875,82.3514404296875
73,231,0,6,80,3,8.389811515808105,82.3898115158081
74,232,0,6,80,3,8.445066452026367,82.44506645202637
75,233,0,10,84,0,8.530312538146973,82.53031253814697
76,234,0,10,84,0,8.588058471679688,82.58805847167969
77,235,0,10,84,0,8.492733001708984,82.49273300170898
78,236,0,7,81,0,8.443170547485352,82.44317054748535
79,237,0,7,81,0,8.367690086364746,82.36769008636475
80,238,0,6,80,3,8.338339805603027,82.33833980560303
81,239,0,7,81,0,8.329819679260254,82.32981967926025
82,240,0,7,81,0,8.330552101135254,82.33055210113525
83,241,0,7,81,0,8.36909008026123,82.36909008026123
84,242,0,7,81,0,8.434442520141602,82.4344425201416
85,243,0,10,84,0,8.498137474060059,82.49813747406006
86,244,0,10,84,0,8.56419563293457,82.56419563293457
87,245,0,10,84,0,8.532319068908691,82.53231906890869
88,246,0,10,84,0,8.486124038696289,82.48612403869629
89,247,0,10,84,0,8.470952987670898,82.4709529876709
90,248,0,7,81,0,8.412649154663086,82.41264915466309
91,249,0,7,81,0,8.385533332824707,82.3855333328247
92,250,0,6,80,3,8.327127456665039,82.32712745666504
93,251,0,6,80,3,8.302176475524902,82.3021764755249
94,252,0,6,80,3,8.36589527130127,82.36589527130127
95,253,0,6,80,3,8.383600234985352,82.38360023498535
96,254,0,6,80,3,8.472955703735352,82.47295570373535
97,255,0,10,84,0,8.536141395568848,82.53614139556885
98,256,0,6,80,3,8.5469388961792,82.5469388961792
99,257,0,7,81,0,8.54788875579834,82.54788875579834
100,258,0,6,80,3,8.466863632202148,82.46686363220215
101,259,0,6,80,3,8.46714973449707,82.46714973449707
102,260,0,7,81,0,8.520622253417969,82.52062225341797
103,261,0,6,80,3,8.587066650390625,82.58706665039062
104,262,0,10,84,0,8.768136978149414,82.76813697814941
105,263,0,10,84,0,8.966626167297363,82.96662616729736
106,264,0,10,84,0,9.087569236755371,83.08756923675537
107,265,0,10,84,0,9.275885581970215,83.27588558197021
108,266,0,14,88,0,9.416374206542969,83.41637420654297
109,267,0,14,88,0,9.661203384399414,83.66120338439941
110,268,0,14,88,0,9.863323211669922,83.86332321166992
