robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
34,34,0,9,14,0,7.575551986694336,12.575551986694336
35,35,0,14,19,0,7.856822967529297,12.856822967529297
36,36,0,14,19,0,7.868571758270264,12.868571758270264
37,37,0,14,19,0,8.100581169128418,13.100581169128418
38,38,0,14,19,0,8.469832420349121,13.469832420349121
39,39,0,14,19,0,8.799688339233398,13.799688339233398
40,40,0,14,19,0,8.97083854675293,13.97083854675293
41,41,0,14,19,0,8.94684886932373,13.94684886932373
42,42,0,14,19,0,9.068656921386719,14.068656921386719
43,43,0,14,19,0,9.466334342956543,14.466334342956543
44,44,0,14,19,0,9.562074661254883,14.562074661254883
45,45,0,14,19,0,10.187711715698242,15.187711715698242
46,46,0,14,19,0,10.558294296264648,15.558294296264648
47,47,0,14,19,0,10.764451026916504,15.764451026916504
48,48,0,14,19,0,10.760336875915527,15.760336875915527
49,49,0,15,20,0,10.727723121643066,15.727723121643066
50,50,0,15,20,0,10.698943138122559,15.698943138122559
51,51,0,15,20,0,10.995403289794922,15.995403289794922
52,52,0,15,20,0,11.135242462158203,16.135242462158203
53,53,0,15,20,0,11.111015319824219,16.11101531982422
54,54,0,15,20,0,10.882918357849121,15.882918357849121
55,55,0,15,20,0,10.802009582519531,15.802009582519531
56,56,0,15,20,0,10.699300765991211,15.699300765991211
57,57,0,15,20,0,11.008728981018066,16.008728981018066
58,58,0,15,20,0,11.315308570861816,16.315308570861816
59,59,0,14,19,0,11.5807523727417,16.5807523727417
60,60,0,14,19,0,11.700294494628906,16.700294494628906
61,61,0,16,21,0,11.871159553527832,16.871159553527832
62,62,0,16,21,0,12.302647590637207,17.302647590637207
63,63,0,16,21,0,13.029997825622559,18.02999782562256
64,64,0,16,21,0,13.900042533874512,18.90004253387451
65,65,0,16,21,0,14.338985443115234,19.338985443115234
66,66,0,16,21,0,14.439637184143066,19.439637184143066
67,67,0,16,21,0,14.267085075378418,19.267085075378418
68,68,0,16,21,0,14.160075187683105,19.160075187683105
69,69,0,16,21,0,14.251283645629883,19.251283645629883
70,70,0,16,21,0,14.773164749145508,19.773164749145508
71,71,0,16,21,0,15.896339416503906,20.896339416503906
72,72,0,16,21,0,16.904632568359375,21.904632568359375
73,73,0,17,22,0,17.66715431213379,22.66715431213379
74,74,0,17,22,0,18.152530670166016,23.152530670166016
75,75,0,17,22,0,18.527130126953125,23.527130126953125
76,76,0,17,22,0,18.966737747192383,23.966737747192383
77,77,0,17,22,0,19.261951446533203,24.261951446533203
78,78,0,17,22,0,19.37009620666504,24.37009620666504
79,79,0,17,22,0,19.506784439086914,24.506784439086914
80,80,0,17,22,0,19.736404418945312,24.736404418945312
81,81,0,17,22,0,19.807353973388672,24.807353973388672
82,82,1,17,22,0,20.013145446777344,25.013145446777344
83,83,2,18,23,0,19.626144409179688,24.626144409179688
84,84,0,18,23,0,19.390277862548828,24.390277862548828
85,85,0,19,24,0,19.882333755493164,24.882333755493164
86,86,0,20,25,0,20.81927490234375,25.81927490234375
87,87,0,21,26,0,21.84747886657715,26.84747886657715
88,88,0,24,29,0,22.388303756713867,27.388303756713867
89,89,0,24,29,0,22.89735984802246,27.89735984802246
90,90,0,25,30,0,23.36414909362793,28.36414909362793
91,91,0,25,30,0,24.221158981323242,29.221158981323242
92,92,0,26,31,0,24.862688064575195,29.862688064575195
93,93,0,26,31,0,25.49766731262207,30.49766731262207
94,94,0,27,32,0,26.397003173828125,31.397003173828125
95,95,0,28,33,0,26.87996482849121,31.87996482849121
96,96,0,28,33,0,24.79233741760254,29.79233741760254
97,97,0,28,33,0,24.084453582763672,29.084453582763672
98,98,0,22,27,0,23.298946380615234,28.298946380615234
99,99,0,22,27,0,22.71807289123535,27.71807289123535
100,100,0,22,27,0,22.434207916259766,27.434207916259766
101,101,0,22,27,0,22.237302780151367,27.237302780151367
102,102,0,22,27,0,22.448692321777344,27.448692321777344
103,103,0,24,29,0,22.749927520751953,27.749927520751953
104,104,0,25,30,0,22.762582778930664,27.762582778930664
105,105,0,19,24,0,22.677873611450195,27.677873611450195
106,106,0,20,25,0,22.380651473999023,27.380651473999023
107,107,0,20,25,0,22.13078498840332,27.13078498840332
108,108,0,20,25,0,22.081605911254883,27.081605911254883
109,109,0,20,25,0,22.134918212890625,27.134918212890625
110,110,0,20,25,0,22.30020523071289,27.30020523071289
