robot_local,robot_frame_idx,robot_keyframe,matched_human_local,matched_human_frame_idx,matched_human_keyframe,barycentric_human_local,barycentric_human_frame_idx
41,44,0,16,22,1,9.550461769104004,15.550461769104004
42,45,0,16,22,1,9.3323392868042,15.3323392868042
43,46,0,16,22,1,9.120102882385254,15.120102882385254
44,47,0,16,22,1,8.891820907592773,14.891820907592773
45,48,0,16,22,1,8.653217315673828,14.653217315673828
46,49,0,16,22,1,8.346511840820312,14.346511840820312
47,50,0,0,6,0,7.922339916229248,13.922339916229248
48,51,0,5,11,0,7.434625625610352,13.434625625610352
49,52,0,6,12,0,7.285872459411621,13.285872459411621
50,53,0,7,13,0,7.304948329925537,13.304948329925537
51,54,0,7,13,0,7.354180335998535,13.354180335998535
52,55,0,7,13,0,7.347307205200195,13.347307205200195
53,56,0,6,12,0,7.437483787536621,13.437483787536621
54,57,0,6,12,0,7.969318389892578,13.969318389892578
55,58,0,5,11,0,9.53958797454834,15.53958797454834
56,59,0,18,24,0,11.792706489562988,17.79270648956299
57,60,0,18,24,0,14.17516803741455,20.17516803741455
58,61,0,18,24,0,16.082244873046875,22.082244873046875
59,62,0,18,24,0,17.38033103942871,23.38033103942871
60,63,0,18,24,0,18.07541847229004,24.07541847229004
61,64,0,17,23,0,18.590496063232422,24.590496063232422
62,65,0,17,23,0,18.956993103027344,24.956993103027344
63,66,0,17,23,0,19.215423583984375,25.215423583984375
64,67,0,17,23,0,19.37995719909668,25.37995719909668
65,68,0,17,23,0,19.47867202758789,25.47867202758789
66,69,0,17,23,0,19.528226852416992,25.528226852416992
67,70,0,17,23,0,19.693058013916016,25.693058013916016
68,71,0,17,23,0,19.786535263061523,25.786535263061523
69,72,0,18,24,0,19.839202880859375,25.839202880859375
70,73,0,18,24,0,19.88528823852539,25.88528823852539
71,74,0,18,24,0,19.943574905395508,25.943574905395508
72,75,0,17,23,0,20.00605583190918,26.00605583190918
73,76,0,17,23,0,19.94641876220703,25.94641876220703
74,77,0,17,23,0,19.92349624633789,25.92349624633789
75,78,0,17,23,0,19.74025535583496,25.74025535583496
76,79,0,20,26,0,19.892454147338867,25.892454147338867
77,80,0,20,26,0,20.19083023071289,26.19083023071289
78,81,0,21,27,0,20.610963821411133,26.610963821411133
79,82,0,22,28,0,21.023717880249023,27.023717880249023
80,83,1,23,29,0,21.391313552856445,27.391313552856445
81,84,0,23,29,0,22.473129272460938,28.473129272460938
82,85,0,24,30,0,25.28018569946289,31.28018569946289
83,86,0,24,30,0,25.477216720581055,31.477216720581055
84,87,0,25,31,0,25.929590225219727,31.929590225219727
85,88,0,26,32,0,26.292211532592773,32.29221153259277
86,89,0,27,33,0,26.624338150024414,32.624338150024414
87,90,0,28,34,0,26.939708709716797,32.9397087097168
88,91,0,29,35,0,27.199235916137695,33.199235916137695
89,92,0,30,36,0,27.37129020690918,33.37129020690918
90,93,0,30,36,0,27.37598991394043,33.37598991394043
91,94,0,30,36,0,27.384960174560547,33.38496017456055
92,95,0,30,36,0,27.4005069732666,33.4005069732666
93,96,0,30,36,0,27.424556732177734,33.424556732177734
94,97,0,30,36,0,27.45969009399414,33.45969009399414
95,98,0,30,36,0,27.51323699951172,33.51323699951172
96,99,0,30,36,0,27.591833114624023,33.59183311462402
97,100,0,30,36,0,27.705408096313477,33.70540809631348
98,101,0,30,36,0,27.867229461669922,33.86722946166992
99,102,0,30,36,0,28.096771240234375,34.096771240234375
100,103,0,30,36,0,28.416030883789062,34.41603088378906
101,104,0,30,36,0,28.845996856689453,34.84599685668945
102,105,0,30,36,0,29.3930721282959,35.3930721282959
103,106,0,31,37,0,30.046655654907227,36.04665565490723
104,107,0,31,37,0,30.76559066772461,36.76559066772461
105,108,0,31,37,0,31.492403030395508,37.49240303039551
106,109,0,31,37,0,32.16651153564453,38.16651153564453
107,110,0,31,37,0,32.745052337646484,38.745052337646484
108,111,0,31,37,0,33.20949172973633,39.20949172973633
109,112,0,31,37,0,33.56232452392578,39.56232452392578
110,113,0,31,37,0,33.818050384521484,39.818050384521484
